row_id,planet_name,num_stars,num_planets,num_moons,orbital_period,radius_in_earth,mass_in_earth,planet_mass,eccentricity,equilibrium_temp_K,st_eff_temp_k,st_radius,st_mass
5135,TOI-1694 c,1,2,0,389.2,,,333.71983,0.18,,5066.4,,0.84
5136,TOI-1695 b,1,1,0,3.13429456,1.799,,,,618,3575,0.52,
5137,TOI-1696 b,1,1,0,2.50031,3.24,56.6,56.6,0,533,3168,0.29,0.27
5138,TOI-1710 b,2,1,0,24.283382,5.15,18.4,18.4,0.185,730,5730,0.95,0.99
5139,TOI-172 b,1,1,0,9.476936,,,,0.3806,,5645,1.78,1.13
5140,TOI-1723 b,1,1,0,13.72641,3.292,10.4,10.4,0,783,5743,1.09,1.04
5141,TOI-1728 b,1,1,0,3.491405,,,,0.057,,3980,0.62,0.65
5142,TOI-1736 b,1,2,0,7.073088,2.44,12.8,12.8,0.21,1076,5807,1.15,1.08
5143,TOI-1736 c,1,2,0,571.25,,,2441,0.3685,,5636,1.43,1.04
5144,TOI-1739 b,1,1,0,8.30329784,1.847,,,,690,4814,0.78,
5145,TOI-1742 b,1,1,0,21.269084,2.365,9.7,9.7,0.3,694,5815,1.13,1.09
5146,TOI-1749 b,1,3,0,2.3889051,1.34,,,,772,3959,0.56,
5147,TOI-1749 c,1,3,0,4.4929,2.12,14,14,0.019,673,3985,0.55,0.58
5148,TOI-1749 d,1,3,0,9.0497,2.52,15,15,0.062,533,3985,0.55,0.58
5149,TOI-1751 b,1,1,0,37.46849,2.77,14.5,14.5,0,,5996,1.2,0.9
5150,TOI-1753 b,1,1,0,5.3846239,2.617,,,,1002,5700,0.96,
5151,TOI-1758 b,1,1,0,20.7051499,3.392,,,,531,5169,0.81,
5152,TOI-1759 b,1,1,0,18.8500111,3.106,,,,432,3960,0.63,
5153,TOI-1775 b,1,1,0,10.2405483,8.696,,,,760,5251,0.84,
5154,TOI-1776 b,1,1,0,2.799868,1.216,1.4,1.4,0,1269,5785,0.94,0.92
5155,TOI-178 b,1,6,0,1.914558,1.152,1.5,1.5,,1040,4316,0.65,0.65
5156,TOI-178 c,1,6,0,3.23842532,1.515,,,,802,4111,0.66,
5157,TOI-178 d,1,6,0,6.5577,2.572,3.01,3.01,,690,4316,0.65,0.65
5158,TOI-178 e,1,6,0,9.9615672,2.149,,,,681,4111,0.66,
5159,TOI-178 f,1,6,0,15.231915,2.287,7.72,7.72,,521,4316,0.65,0.65
5160,TOI-178 g,1,6,0,20.708504,3.751,,,,536,4111,0.7,
5161,TOI-1789 b,1,1,0,3.208664,16.141,222.47988,222.47988,,1927,5991,2.17,1.51
5162,TOI-1794 b,1,1,0,8.765603,2.968,,,,948,5707,1.3,
5163,TOI-1798.01,1,2,0,8.02154,2.385,6.5,6.5,0,734,5106,0.79,0.85
5164,TOI-1798.02,1,2,0,0.43780692,1.5,,,,1943,5165.2,0.78,
5165,TOI-1799 b,1,1,0,7.085738,1.422,4,4,0,923,5698,0.95,0.94
5166,TOI-1801 b,2,1,0,10.643985,1.961,16,16,0,431,3748,0.51,0.51
5167,TOI-1806.01,1,1,0,15.1454693,3.41,,,,337,3272,0.4,0.39
5168,TOI-1807 b,1,1,0,0.54937097,1.497,2.44,2.44,0,1694,4914,0.75,0.8
5169,TOI-181 b,1,1,0,4.53205017,7.059,,,,851,4983,0.81,
5170,TOI-1811 b,1,1,0,3.7130765,11.142,308.92921,308.92921,0.052,962,4766,0.77,0.82
5171,TOI-1820 b,1,1,0,4.860673,11.427,,,,1151,5778.2,1.4,
5172,TOI-1823 b,1,1,0,38.8135498,8.207,,,,486,4760,0.82,
5173,TOI-1824 b,1,1,0,22.8085719,2.455,,,,544,5182,0.82,
5174,TOI-1836 b,1,2,0,20.3807063,6.343,,,,1089,6351,1.62,
5175,TOI-1836 c,1,2,0,1.7727471,2.6,8,8,0,2008,6237,1.65,1.25
5176,TOI-1842 b,1,1,0,9.5739531,12.496,,,,1208,6115,2.05,
5177,TOI-1853 b,1,1,0,1.2436258,3.46,73.2,73.2,0.03,1479,4985,0.81,0.84
5178,TOI-1855 b,1,1,0,1.36414864,18.495,360.09959,360.09959,0.033,1701,5359,1.04,0.99
5179,TOI-1859 b,1,1,0,63.48347,9.752,,,0.57,,6341,1.36,1.29
5180,TOI-1860 b,1,1,0,1.0662082,1.088,,,,1515,5668,0.93,
5181,TOI-1898 b,1,1,0,45.52214556,9.706,,,,682,6303.91,1.61,
5182,TOI-1899 b,1,1,0,29.09022715,12.183,,,,324,3854,0.62,
5183,TOI-1937 A b,2,1,0,0.9466787,14.666,,,,1646,5707,1.07,
5184,TOI-198 b,1,1,0,10.2152,1.44,,,,368,3650,0.44,0.47
5185,TOI-199 b,1,2,0,104.854,9.079,54.03083,54.03083,0.09,,5255,0.82,0.94
5186,TOI-199 c,1,2,0,273.69,,88.99195,88.99195,0.096,,5255,0.82,0.94
5187,TOI-1994 b,1,1,0,4.0337201,11.516,,,,1841,7369,2.22,
5188,TOI-2000 b,1,2,0,3.098367,2.471,,,,1185,5400,1.18,
5189,TOI-2000 c,1,2,0,9.1270425,8.362,,,,1001,5400,1.18,
5190,TOI-201 b,1,1,0,52.978197,,,,0.28,,6394,1.32,1.32
5191,TOI-2010 b,1,1,0,1134.672396,11.758,,,,437,5842,1.07,
5192,TOI-2015 b,1,1,0,3.348968,3.39,16.4,16.4,0,512,3194,0.33,0.34
5193,TOI-2018 b,1,1,0,7.4355668,2.451,,,,821,4218.9,0.62,
5194,TOI-2019 b,1,1,0,15.3444,5.333,34.4,34.4,0,917,5626,1.75,1.18
5195,TOI-2025 b,1,1,0,8.87205415,11.985,,,,1098,6042,1.48,
5196,TOI-2046 b,1,1,0,1.4971842,16.141,731.00534,731.00534,,,6250,1.21,1.13
5197,TOI-2048 b,1,1,0,13.7905315,2.602,,,,646,5021.6,0.76,
5198,TOI-206 b,1,1,0,0.73631322,1.533,,,,840,3358,0.35,
5199,TOI-2068 b,1,1,0,7.768915,1.821,,,,521,3710,0.54,0.56
5200,TOI-2076 b,1,3,0,10.35509,2.518,,,,797,5200,0.77,0.82
5201,TOI-2076 c,1,3,0,21.01538,3.497,,,,630,5200,0.77,0.82
5202,TOI-2076 d,1,3,0,35.12537,3.232,,,,530,5200,0.77,0.82
5203,TOI-2081 b,1,1,0,10.50543617,1.948,,,,432,3742,0.52,
5204,TOI-2084 b,2,1,0,6.0784247,2.47,,,,527,3551,0.47,0.45
5205,TOI-2088 b,1,1,0,124.72997,3.683,37,37,0,300,5081,0.85,0.9
5206,TOI-2095 b,1,2,0,17.66484,1.25,4.1,4.1,0,347,3759,0.44,0.44
5207,TOI-2095 c,1,2,0,28.1722,1.39,,,0.13,,3662,0.45,0.47
5208,TOI-2096 b,1,2,0,3.1190633,1.243,,,0.15,445,3300,0.23,0.23
5209,TOI-2096 c,1,2,0,6.38782016,2.041,,,,358,3285,0.25,
5210,TOI-2107 b,1,1,0,2.4545467,13.574,263.79758,263.79758,0.033,1397,5627,0.93,0.96
5211,TOI-2109 b,1,1,0,0.67249,15.729,,,,3053,6647,1.7,
5212,TOI-2120 b,1,1,0,5.79981889,2.635,,,,355,3179,0.24,
5213,TOI-2128 b,1,1,0,16.3413889,2.629,,,,777,5991.11,1.13,
5214,TOI-2134 b,1,2,0,9.2292078,3.219,,,,690,4406,0.77,
